al-ṣan‘ah. gharībat al-ḥusayn. qaṣīdah. mkhl‘ al-basīṭ
8	yā wāḥid al-‘aṣr fī al-jamāl	waṭl‘t al-badr fī al-kamāl
8	arāk talwī fī kull ḥīn	ṭarfak ‘annī walā tubālī
6	adhāk mimmā janayt jahlā	am dhāk min nakhwat al-dalāl

4	isq al-‘irāq ṣirf al-‘irāq	wāimnaḥ ‘ubaydak ṭīb al-wṣāl
8	walays ‘inday lilnnafs ashhá	siwāk yā muntahá āmālī

9	din bi-al-hawá shar‘an	mā ‘isht yā ṣāḥ
9	wanazzih al-sam‘	‘an manṭiq al-lāḥ
9	bi-al-wājib yud‘á	ilayk bi-al-rāḥ

6	nadīmunā qad ṭāb	ghann lah wāushd
9	wāi‘riḍ ‘alayh al-kās	‘asāh yaltadhdh

al-ṣan‘ah. gharībat al-ḥusayn. tawshīḥ mkhl‘ al-basīṭ
8	waḥaqq ḥusnak ma‘ ā‘tidālak	inī min al-wajd himt fīk
8	ṭāya‘ li’amrak ma‘ maqālak	‘abdak ghulāmak mink ilayk
6	mā qaṣdī fī al-ḥirṣ ‘an wiṣālak	lakin khawfī ghadan ‘alayk

4	yawm al-liqā ma‘ al-tadānī	yafūz fīh al-ladhī sa‘id
8	wal-ḥukm lillah fī al-‘ibād	wayaf‘al al-lah mā yurīd

al-ṣan‘ah. shoghl. gharībat al-ḥusayn. zajal
18	waṣlak ḥayātī	wajannatī wana‘īmī	wabasātīnī
18	surūr ḥayātī	warawḍatī wanasīmī	warayāḥīnī

inshād
	tih dalālan fa’ant hlun lidhāk	wataḥakkam fālḥusn qad a‘ṭāk

al-ṣan‘ah. ḥijāz kabīr. tawshīḥ muḍāri‘
8	fī waṣfih al-asná	qad ḥārat al-adhhān
8	‘uyūnuh ftnh	fāyaq ‘alá al-ghizlān
8	lilnnās qad afná	qadduh kaghuṣn al-bān

4	yaftan liman yarāh	ilá al-‘uqūl salīb
8	wajnatuh jannah	hal lī minhā naṣīb

al-ṣan‘ah. shoghl. gharībat al-ḥusayn. tawshīḥ mjzū’ al-khufayf
9	jurḥ qalbī min al-hawá	waqātilī min al-jufūn
9	al-ḥashā bi-al-jafā ānkawá	wa’asbāb al-hawá al-‘uyūn



al-ṣan‘ah. gharībat al-ḥusayn. zajal llshshtrī
4	yā ‘ajbī fīman yakun ya‘shaq	wayafshī lil‘ibād sirruh
4	hadhāk miskīn yūṣaf aḥmaq	waẓannī mā yakhtalif amruh
4	wānā jismī faná waraqq	waḥibbī lam ajid ghayruh

4	tajidnī ‘indamā yudhkar	watash‘al fiī al-qalb niyarānuh
4	man yahwá al-malīḥ yaṣbar	‘alá ṣadduh wahijrānuh

al-ṣan‘ah. gharībat al-ḥusayn. qaṣīdah. munsariḥ
8	mā kunt adrī mā al-ḥubb lawlākum	‘allamtumūnī min ṭīb ma‘nākum
8	antum fī qalbī wadhikrukum fī famī	fakayf aslū am kayf ansākum

al-ṣan‘ah. shoghl. gharībat al-ḥusayn. zajal
8	ṣabrī ‘alá man na‘shaquh	dūn ākhtiyār
8	wazādanī yā ‘āshiqīn	bu‘d al-diyār
6	al-nās taqūl fī al-mathal	ṣaḥḥ al-khabar

4	qalbī ānkawá	mā luh dawā
8	yā farḥatī rīt fī al-manām	wajh al-qamar

al-ṣan‘ah. shoghl. gharībat al-ḥusayn. zajal
8	ant tazīd ma‘ná	wānā nazīd ‘ishqā
8	na‘shaq wanatmanná	‘alá tilk al-riqā
8	fī āmḥabbatak nafná	waman yalum yashqá

4	yashqá wayat‘adhdhab	dā’im naḥīl aṣfar
8	qul lī āsh yakūn ‘amlī	yā najmat al-gharār

